Epoch, training loss, validation loss, validation accuracy, ,,
152,2.288415,2.286754,0.308000, ,,
153,2.288657,2.286488,0.119000, ,,
154,2.288472,2.286460,0.245000, ,,
155,2.287918,2.286102,0.264000, ,,
156,2.287754,2.286050,0.148000, ,,
157,2.288036,2.286177,0.222000, ,,
158,2.287729,2.285881,0.120000, ,,
159,2.287447,2.285773,0.208000, ,,
160,2.287392,2.285746,0.285000, ,,
161,2.287858,2.285197,0.119000, ,,
162,2.287489,2.285063,0.161000, ,,
163,2.286986,2.285240,0.232000, ,,
164,2.286904,2.284834,0.287000, ,,
165,2.286567,2.284613,0.162000, ,,
166,2.286426,2.285133,0.166000, ,,
167,2.286539,2.284564,0.231000, ,,
168,2.286169,2.284352,0.149000, ,,
169,2.286288,2.284530,0.216000, ,,
170,2.285907,2.284252,0.123000, ,,
171,2.285789,2.284187,0.228000, ,,
172,2.285891,2.284147,0.217000, ,,
173,2.285700,2.283665,0.119000, ,,
174,2.285420,2.283584,0.242000, ,,
175,2.285246,2.283190,0.243000, ,,
176,2.285012,2.283225,0.231000, ,,
177,2.284915,2.283362,0.210000, ,,
178,2.284909,2.283115,0.128000, ,,
179,2.284546,2.282858,0.160000, ,,
180,2.284365,2.283065,0.225000, ,,
181,2.284509,2.282600,0.210000, ,,
182,2.284235,2.282331,0.310000, ,,
183,2.283932,2.281931,0.191000, ,,
184,2.284151,2.282189,0.204000, ,,
185,2.283889,2.281592,0.234000, ,,
186,2.283215,2.282014,0.128000, ,,
187,2.283667,2.281908,0.233000, ,,
188,2.282974,2.281492,0.158000, ,,
189,2.282953,2.281347,0.191000, ,,
190,2.282943,2.280897,0.225000, ,,
191,2.282678,2.281239,0.235000, ,,
192,2.282611,2.280735,0.213000, ,,
193,2.282288,2.280818,0.148000, ,,
194,2.282116,2.280447,0.172000, ,,
195,2.281780,2.279972,0.267000, ,,
196,2.281768,2.280089,0.138000, ,,
197,2.281447,2.279856,0.226000, ,,
198,2.281460,2.279731,0.288000, ,,
199,2.281133,2.279312,0.229000, ,,
200,2.281169,2.279344,0.151000, ,,
201,2.281145,2.279991,0.127000, ,,
202,2.280724,2.278883,0.230000, ,,
203,2.280430,2.278763,0.219000, ,,
204,2.280487,2.278757,0.183000, ,,
205,2.280041,2.278356,0.299000, ,,
206,2.279738,2.278396,0.232000, ,,
207,2.279714,2.277738,0.120000, ,,
208,2.279487,2.277921,0.295000, ,,
209,2.279072,2.277779,0.218000, ,,
210,2.278865,2.277158,0.277000, ,,
211,2.279034,2.277122,0.189000, ,,
212,2.278721,2.276680,0.179000, ,,
213,2.278367,2.276674,0.271000, ,,
214,2.278159,2.276761,0.313000, ,,
215,2.278090,2.276143,0.124000, ,,
216,2.277782,2.275898,0.289000, ,,
217,2.277428,2.275881,0.282000, ,,
218,2.277043,2.275338,0.158000, ,,
219,2.277253,2.275079,0.172000, ,,
220,2.276646,2.275317,0.234000, ,,
221,2.276540,2.274960,0.234000, ,,
222,2.276058,2.274410,0.182000, ,,
223,2.275858,2.274374,0.261000, ,,
224,2.275784,2.273820,0.302000, ,,
225,2.275448,2.274124,0.221000, ,,
