, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
2,2.302425,0.136,2.301529,1.0,,,
5,2.301399,0.113,2.300506,2.0,,,
8,2.300475,0.173,2.2995740000000000,3.0,,,
11,2.299741,0.126,2.298677,4.0,,,
14,2.299024,0.119,2.2979580000000000,5.0,,,
17,2.29847,0.119,2.297271,6.0,,,
20,2.297975,0.119,2.296726,7.0,,,
23,2.297531,0.119,2.2962860000000000,8.0,,,
26,2.297119,0.119,2.295801,9.0,,,
29,2.296749,0.119,2.295417,10.0,,,
32,2.29642,0.119,2.295,11.0,,,
35,2.296062,0.119,2.294657,12.0,,,
38,2.295758,0.119,2.29433,13.0,,,
41,2.295436,0.119,2.294036,14.0,,,
44,2.295081,0.119,2.2937830000000000,15.0,,,
47,2.294699,0.119,2.293364,16.0,,,
50,2.294278,0.119,2.292993,17.0,,,
53,2.293909,0.119,2.292627,18.0,,,
56,2.293475,0.119,2.2922570000000000,19.0,,,
59,2.2930190000000000,0.119,2.291771,20.0,,,
62,2.292545,0.119,2.291322,21.0,,,
65,2.2919870000000000,0.119,2.290795,22.0,,,
68,2.291433,0.119,2.290377,23.0,,,
71,2.290898,0.119,2.289764,24.0,,,
74,2.2902550000000000,0.119,2.289269,25.0,,,
77,2.2896,0.119,2.2886740000000000,26.0,,,
80,2.288792,0.119,2.288023,27.0,,,
83,2.287964,0.119,2.287239,28.0,,,
86,2.2871670000000000,0.12,2.286494,29.0,,,
89,2.286133,0.125,2.285564,30.0,,,
92,2.285029,0.123,2.284457,31.0,,,
95,2.283867,0.132,2.283404,32.0,,,
98,2.282695,0.123,2.2821540000000000,33.0,,,
101,2.281113,0.148,2.280842,34.0,,,
104,2.279411,0.152,2.2793100000000000,35.0,,,
107,2.277662,0.157,2.277573,36.0,,,
110,2.2755420000000000,0.17,2.27563,37.0,,,
113,2.273241,0.198,2.2735090000000000,38.0,,,
116,2.270577,0.18,2.270813,39.0,,,
119,2.267368,0.191,2.267879,40.0,,,
122,2.263752,0.218,2.2645300000000000,41.0,,,
125,2.2597150000000000,0.219,2.260411,42.0,,,
128,2.254727,0.242,2.255553,43.0,,,
131,2.248772,0.243,2.249746,44.0,,,
134,2.241562,0.255,2.242872,45.0,,,
137,2.232802,0.264,2.234005,46.0,,,
140,2.221951,0.267,2.223204,47.0,,,
143,2.208153,0.275,2.208888,48.0,,,
146,2.190091,0.307,2.190489,49.0,,,
149,2.166938,0.323,2.1657450000000000,50.0,,,
152,2.1356760000000000,0.331,2.133219,51.0,,,
155,2.091015,0.335,2.089667,52.0,,,
158,2.03097,0.391,2.016738,53.0,,,
161,1.995196,0.326,2.010875,54.0,,,
164,1.8732400000000000,0.423,1.840275,55.0,,,
167,1.8342940000000000,0.423,1.748372,56.0,,,
170,1.649766,0.459,1.6634690000000000,57.0,,,
173,1.590515,0.312,1.8512810000000000,58.0,,,
176,1.557175,0.522,1.481066,59.0,,,
179,1.353931,0.569,1.345338,60.0,,,
182,1.377369,0.589,1.2801560000000000,61.0,,,
185,1.189894,0.613,1.182283,62.0,,,
188,1.213387,0.593,1.198762,63.0,,,
