, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
191,1.063257,0.657,1.060181,64.0,,,
194,0.958774,0.69,0.970799,65.0,,,
197,0.968894,0.568,1.312099,66.0,,,
200,1.000378,0.71,0.905487,67.0,,,
203,0.830651,0.728,0.842671,68.0,,,
206,0.786204,0.721,0.8462730000000000,69.0,,,
209,0.868303,0.664,0.9988230000000000,70.0,,,
212,0.769007,0.747,0.7827930000000000,71.0,,,
215,0.698797,0.758,0.763356,72.0,,,
218,0.6845180000000000,0.754,0.762497,73.0,,,
221,0.648042,0.771,0.6890310000000000,74.0,,,
224,0.695998,0.737,0.830896,75.0,,,
227,0.657906,0.78,0.670262,76.0,,,
230,0.588384,0.781,0.660634,77.0,,,
233,0.57687,0.77,0.655813,78.0,,,
236,0.6420640000000000,0.796,0.624935,79.0,,,
239,0.557196,0.783,0.642015,80.0,,,
242,0.551036,0.795,0.619128,81.0,,,
245,0.571327,0.774,0.6962550000000000,82.0,,,
248,0.538758,0.796,0.602332,83.0,,,
251,0.509235,0.799,0.620159,84.0,,,
254,0.508004,0.796,0.625043,85.0,,,
257,0.491724,0.812,0.571905,86.0,,,
260,0.58627,0.823,0.568811,87.0,,,
263,0.47926900000000000,0.822,0.572105,88.0,,,
266,0.46285200000000000,0.809,0.555248,89.0,,,
269,0.45500800000000000,0.808,0.553215,90.0,,,
274,0.485263,0.821,0.552354,92.0,,,
277,0.44025200000000000,0.83,0.538832,93.0,,,
280,0.42285200000000000,0.833,0.534605,94.0,,,
283,0.434305,0.831,0.512484,95.0,,,
286,0.41883100000000000,0.799,0.6075150000000000,96.0,,,
289,0.439395,0.84,0.512074,97.0,,,
292,0.395687,0.826,0.511725,98.0,,,
295,0.407966,0.828,0.496141,99.0,,,
298,0.382275,0.835,0.523759,100.0,,,
301,0.388573,0.838,0.49067800000000000,101.0,,,
304,0.38285400000000000,0.838,0.51862,102.0,,,
307,0.36411,0.838,0.484961,103.0,,,
310,0.358716,0.839,0.48918100000000000,104.0,,,
313,0.349765,0.834,0.49645600000000000,105.0,,,
316,0.34580900000000000,0.841,0.48463,106.0,,,
319,0.386311,0.839,0.494741,107.0,,,
322,0.3415,0.841,0.48576400000000000,108.0,,,
325,0.33618900000000000,0.828,0.513868,109.0,,,
328,0.332068,0.829,0.507083,110.0,,,
331,0.326461,0.842,0.490914,111.0,,,
334,0.326739,0.824,0.525352,112.0,,,
337,0.323229,0.847,0.462675,113.0,,,
340,0.304832,0.83,0.518246,114.0,,,
343,0.338073,0.833,0.506898,115.0,,,
346,0.312488,0.841,0.49759900000000000,116.0,,,
349,0.29252,0.846,0.46502200000000000,117.0,,,
352,0.286326,0.841,0.482051,118.0,,,
355,0.276373,0.849,0.476541,119.0,,,
358,0.279996,0.834,0.49520600000000000,120.0,,,
361,0.272912,0.85,0.45509500000000000,121.0,,,
364,0.272858,0.848,0.467913,122.0,,,
367,0.27249,0.829,0.48294900000000000,123.0,,,
370,0.276852,0.849,0.44338500000000000,124.0,,,
373,0.259236,0.836,0.538816,125.0,,,
376,0.253369,0.849,0.45565900000000000,126.0,,,
379,0.261469,0.815,0.557743,127.0,,,
382,0.248173,0.854,0.43486500000000000,128.0,,,
385,0.26014,0.827,0.55586,129.0,,,
388,0.24492200000000000,0.848,0.44739300000000000,130.0,,,
391,0.232449,0.854,0.432539,131.0,,,
394,0.241162,0.852,0.429651,132.0,,,
397,0.220329,0.828,0.514339,133.0,,,
400,0.220842,0.844,0.507901,134.0,,,
403,0.230294,0.856,0.43478100000000000,135.0,,,
406,0.205749,0.85,0.46359700000000000,136.0,,,
409,0.207062,0.859,0.438568,137.0,,,
412,0.202217,0.844,0.5050180000000000,138.0,,,
415,0.198052,0.858,0.453341,139.0,,,
418,0.21004300000000000,0.86,0.42563900000000000,140.0,,,
421,0.198771,0.856,0.442484,141.0,,,
424,0.189833,0.844,0.48248800000000000,142.0,,,
427,0.183916,0.851,0.466049,143.0,,,
430,0.17305300000000000,0.854,0.473229,144.0,,,
433,0.18627,0.852,0.487274,145.0,,,
436,0.182436,0.847,0.479997,146.0,,,
439,0.167949,0.846,0.512886,147.0,,,
442,0.155889,0.849,0.46310500000000000,148.0,,,
445,0.149251,0.85,0.46161600000000000,149.0,,,
448,0.169254,0.849,0.515838,150.0,,,
