Epoch, training loss, validation loss, validation accuracy, ,,
152,0.410007,0.442964,0.868000, ,,
153,0.407973,0.440990,0.868000, ,,
154,0.406157,0.439122,0.870000, ,,
155,0.404332,0.437544,0.869000, ,,
156,0.402399,0.436217,0.868000, ,,
157,0.400618,0.434727,0.871000, ,,
158,0.398868,0.433220,0.869000, ,,
159,0.397089,0.431518,0.871000, ,,
160,0.395479,0.430223,0.871000, ,,
161,0.393723,0.428793,0.869000, ,,
162,0.392015,0.427251,0.870000, ,,
163,0.390377,0.425745,0.871000, ,,
164,0.388675,0.424344,0.872000, ,,
165,0.387060,0.423123,0.872000, ,,
166,0.385595,0.421711,0.872000, ,,
167,0.383951,0.420703,0.873000, ,,
168,0.382454,0.419497,0.873000, ,,
169,0.380787,0.418053,0.874000, ,,
170,0.379377,0.416506,0.876000, ,,
171,0.377913,0.415459,0.876000, ,,
172,0.376480,0.414063,0.877000, ,,
173,0.374960,0.413112,0.878000, ,,
174,0.373496,0.411816,0.878000, ,,
175,0.372053,0.410639,0.879000, ,,
176,0.370664,0.409503,0.879000, ,,
177,0.369227,0.408469,0.880000, ,,
178,0.368012,0.407455,0.879000, ,,
179,0.366603,0.405725,0.882000, ,,
180,0.365201,0.404989,0.883000, ,,
181,0.363886,0.403802,0.882000, ,,
182,0.362593,0.403076,0.882000, ,,
183,0.361328,0.401916,0.884000, ,,
184,0.359995,0.400840,0.884000, ,,
185,0.358764,0.399541,0.885000, ,,
186,0.357495,0.398617,0.883000, ,,
187,0.356222,0.397637,0.883000, ,,
188,0.354987,0.396963,0.884000, ,,
189,0.353785,0.395724,0.885000, ,,
190,0.352590,0.394878,0.885000, ,,
191,0.351475,0.393873,0.885000, ,,
192,0.350348,0.393032,0.884000, ,,
193,0.349233,0.392136,0.885000, ,,
194,0.348191,0.391150,0.885000, ,,
195,0.346957,0.390497,0.885000, ,,
196,0.345627,0.389420,0.885000, ,,
197,0.344572,0.388417,0.884000, ,,
198,0.343433,0.387683,0.884000, ,,
199,0.342310,0.386997,0.884000, ,,
200,0.341246,0.385882,0.885000, ,,
201,0.340150,0.385019,0.885000, ,,
202,0.339020,0.384402,0.885000, ,,
203,0.337995,0.383415,0.886000, ,,
204,0.336996,0.382973,0.887000, ,,
205,0.335958,0.382164,0.885000, ,,
206,0.334980,0.381250,0.887000, ,,
207,0.333921,0.380182,0.887000, ,,
208,0.333017,0.379532,0.887000, ,,
209,0.332087,0.379188,0.888000, ,,
210,0.330970,0.378315,0.889000, ,,
211,0.330026,0.377575,0.888000, ,,
212,0.329034,0.376712,0.890000, ,,
213,0.328089,0.376355,0.890000, ,,
214,0.327024,0.375403,0.891000, ,,
215,0.326112,0.374602,0.890000, ,,
216,0.325272,0.374091,0.890000, ,,
217,0.324330,0.373288,0.891000, ,,
218,0.323323,0.372751,0.890000, ,,
219,0.322440,0.371933,0.890000, ,,
220,0.321500,0.371448,0.891000, ,,
221,0.320604,0.370611,0.891000, ,,
222,0.319761,0.370109,0.892000, ,,
223,0.318813,0.369413,0.893000, ,,
224,0.317896,0.368895,0.892000, ,,
225,0.317133,0.368588,0.892000, ,,
226,0.316227,0.367597,0.893000, ,,
227,0.315423,0.367331,0.891000, ,,
228,0.314531,0.366822,0.891000, ,,
229,0.313724,0.365895,0.894000, ,,
230,0.312850,0.365034,0.894000, ,,
231,0.311975,0.364518,0.894000, ,,
232,0.311292,0.364251,0.892000, ,,
233,0.310344,0.363926,0.893000, ,,
234,0.309512,0.363136,0.892000, ,,
235,0.308743,0.362602,0.894000, ,,
236,0.308050,0.361993,0.894000, ,,
237,0.307120,0.361692,0.895000, ,,
238,0.306517,0.360901,0.895000, ,,
239,0.305551,0.360342,0.893000, ,,
240,0.304765,0.359909,0.894000, ,,
241,0.304041,0.359449,0.893000, ,,
242,0.303274,0.358741,0.894000, ,,
243,0.302487,0.358621,0.895000, ,,
244,0.301710,0.357932,0.894000, ,,
245,0.301064,0.357594,0.893000, ,,
246,0.300249,0.357158,0.894000, ,,
247,0.299476,0.356621,0.894000, ,,
248,0.298814,0.355850,0.894000, ,,
249,0.297979,0.355244,0.894000, ,,
250,0.297312,0.355006,0.894000, ,,
251,0.296602,0.354664,0.894000, ,,
252,0.295835,0.354140,0.894000, ,,
253,0.295240,0.353792,0.894000, ,,
254,0.294415,0.353549,0.894000, ,,
255,0.293734,0.353120,0.896000, ,,
256,0.293033,0.352684,0.896000, ,,
257,0.292355,0.351970,0.895000, ,,
258,0.291724,0.351453,0.895000, ,,
259,0.291033,0.351040,0.895000, ,,
260,0.290382,0.350733,0.894000, ,,
261,0.289722,0.350421,0.896000, ,,
262,0.289028,0.350059,0.896000, ,,
263,0.288362,0.349465,0.896000, ,,
264,0.287649,0.349125,0.897000, ,,
265,0.287056,0.348877,0.897000, ,,
266,0.286332,0.348427,0.897000, ,,
267,0.285702,0.348206,0.896000, ,,
268,0.284983,0.347710,0.897000, ,,
269,0.284336,0.347226,0.897000, ,,
270,0.283704,0.346994,0.897000, ,,
271,0.283111,0.346748,0.897000, ,,
272,0.282475,0.346219,0.897000, ,,
273,0.281852,0.345634,0.897000, ,,
274,0.281210,0.345295,0.898000, ,,
275,0.280627,0.345141,0.898000, ,,
276,0.279984,0.344769,0.898000, ,,
277,0.279334,0.344441,0.897000, ,,
278,0.278765,0.343977,0.897000, ,,
279,0.278182,0.343691,0.899000, ,,
280,0.277574,0.343465,0.897000, ,,
281,0.276946,0.343382,0.897000, ,,
282,0.276469,0.342862,0.898000, ,,
283,0.275778,0.342227,0.899000, ,,
284,0.275109,0.342141,0.898000, ,,
285,0.274559,0.341730,0.899000, ,,
286,0.273981,0.341318,0.898000, ,,
287,0.273503,0.340933,0.898000, ,,
288,0.272919,0.340769,0.901000, ,,
289,0.272219,0.340724,0.900000, ,,
290,0.271698,0.340443,0.901000, ,,
291,0.271085,0.339982,0.899000, ,,
292,0.270703,0.339544,0.897000, ,,
293,0.270045,0.339326,0.900000, ,,
294,0.269415,0.339086,0.900000, ,,
295,0.268879,0.338661,0.900000, ,,
296,0.268437,0.338326,0.900000, ,,
297,0.267769,0.338064,0.901000, ,,
298,0.267291,0.337995,0.899000, ,,
299,0.266715,0.337893,0.901000, ,,
300,0.266155,0.337368,0.901000, ,,
301,0.265651,0.337094,0.901000, ,,
302,0.265189,0.336544,0.904000, ,,
303,0.264545,0.336456,0.903000, ,,
304,0.264022,0.336244,0.902000, ,,
305,0.263441,0.335746,0.904000, ,,
306,0.262930,0.335603,0.903000, ,,
307,0.262414,0.335342,0.903000, ,,
308,0.261881,0.335020,0.904000, ,,
309,0.261374,0.334942,0.904000, ,,
310,0.260835,0.334671,0.904000, ,,
311,0.260345,0.334517,0.903000, ,,
312,0.259902,0.333952,0.903000, ,,
313,0.259337,0.333806,0.903000, ,,
314,0.258843,0.333893,0.904000, ,,
315,0.258307,0.333596,0.904000, ,,
316,0.257810,0.333040,0.904000, ,,
317,0.257290,0.332880,0.904000, ,,
318,0.256862,0.332751,0.903000, ,,
319,0.256265,0.332471,0.904000, ,,
320,0.255891,0.332312,0.904000, ,,
321,0.255327,0.331812,0.904000, ,,
322,0.254827,0.331459,0.905000, ,,
323,0.254356,0.331548,0.905000, ,,
324,0.253835,0.331316,0.905000, ,,
325,0.253410,0.330969,0.905000, ,,
326,0.252935,0.330759,0.905000, ,,
327,0.252429,0.330786,0.905000, ,,
328,0.251970,0.330485,0.905000, ,,
329,0.251386,0.330206,0.905000, ,,
330,0.251007,0.330097,0.905000, ,,
331,0.250509,0.329623,0.905000, ,,
332,0.250138,0.329518,0.905000, ,,
333,0.249572,0.329248,0.905000, ,,
334,0.249111,0.329136,0.905000, ,,
335,0.248663,0.329031,0.905000, ,,
336,0.248151,0.328621,0.906000, ,,
337,0.247814,0.328439,0.905000, ,,
338,0.247279,0.328388,0.907000, ,,
339,0.246872,0.328106,0.907000, ,,
340,0.246378,0.327995,0.908000, ,,
341,0.245891,0.327541,0.907000, ,,
342,0.245477,0.327299,0.908000, ,,
343,0.245018,0.327337,0.907000, ,,
344,0.244588,0.326810,0.907000, ,,
345,0.244182,0.326991,0.908000, ,,
346,0.243655,0.326810,0.908000, ,,
347,0.243265,0.326499,0.908000, ,,
348,0.242791,0.326435,0.908000, ,,
349,0.242439,0.326242,0.908000, ,,
350,0.241897,0.325956,0.908000, ,,
351,0.241487,0.325722,0.908000, ,,
352,0.241022,0.325553,0.908000, ,,
353,0.240681,0.325402,0.908000, ,,
354,0.240169,0.325174,0.908000, ,,
355,0.239812,0.325026,0.908000, ,,
356,0.239438,0.325109,0.908000, ,,
357,0.238930,0.324743,0.908000, ,,
358,0.238475,0.324395,0.908000, ,,
359,0.238036,0.324164,0.908000, ,,
360,0.237650,0.324089,0.908000, ,,
361,0.237206,0.324099,0.908000, ,,
362,0.236809,0.323781,0.908000, ,,
363,0.236459,0.323790,0.908000, ,,
364,0.236008,0.323521,0.908000, ,,
365,0.235608,0.323160,0.908000, ,,
366,0.235179,0.322941,0.909000, ,,
367,0.234710,0.322984,0.908000, ,,
368,0.234365,0.322897,0.908000, ,,
369,0.234004,0.322908,0.909000, ,,
370,0.233523,0.322347,0.909000, ,,
371,0.233079,0.322343,0.909000, ,,
372,0.232703,0.322162,0.909000, ,,
373,0.232304,0.321993,0.909000, ,,
374,0.231925,0.321958,0.908000, ,,
375,0.231595,0.321737,0.908000, ,,
376,0.231122,0.321447,0.909000, ,,
377,0.230760,0.321446,0.909000, ,,
378,0.230331,0.321365,0.909000, ,,
379,0.229917,0.321307,0.909000, ,,
380,0.229548,0.320818,0.909000, ,,
381,0.229148,0.320666,0.908000, ,,
382,0.228770,0.320693,0.909000, ,,
383,0.228379,0.320681,0.908000, ,,
384,0.228026,0.320644,0.908000, ,,
385,0.227601,0.320338,0.908000, ,,
386,0.227278,0.320052,0.909000, ,,
387,0.226849,0.319927,0.909000, ,,
388,0.226500,0.319861,0.911000, ,,
389,0.226100,0.319621,0.909000, ,,
390,0.225661,0.319607,0.909000, ,,
391,0.225272,0.319682,0.909000, ,,
392,0.224978,0.319416,0.909000, ,,
393,0.224586,0.319202,0.909000, ,,
394,0.224255,0.318981,0.910000, ,,
395,0.223857,0.318790,0.912000, ,,
396,0.223464,0.318747,0.912000, ,,
397,0.223092,0.318724,0.912000, ,,
398,0.222738,0.318550,0.911000, ,,
399,0.222340,0.318323,0.911000, ,,
400,0.221999,0.318045,0.912000, ,,
401,0.221592,0.318328,0.911000, ,,
402,0.221225,0.317943,0.911000, ,,
403,0.220877,0.317621,0.911000, ,,
404,0.220574,0.317800,0.912000, ,,
405,0.220157,0.317645,0.912000, ,,
406,0.219803,0.317574,0.913000, ,,
407,0.219463,0.317112,0.912000, ,,
408,0.219025,0.317101,0.913000, ,,
409,0.218705,0.317127,0.912000, ,,
410,0.218370,0.317178,0.912000, ,,
411,0.218046,0.316888,0.913000, ,,
412,0.217607,0.316654,0.912000, ,,
413,0.217255,0.316851,0.913000, ,,
414,0.216908,0.316425,0.913000, ,,
415,0.216577,0.316347,0.913000, ,,
416,0.216174,0.316237,0.913000, ,,
417,0.215852,0.316049,0.913000, ,,
418,0.215484,0.316094,0.913000, ,,
419,0.215182,0.315867,0.913000, ,,
420,0.214775,0.315869,0.913000, ,,
421,0.214508,0.315649,0.913000, ,,
