Epoch, training loss, validation loss, validation accuracy, ,,
1,2.529755,2.350726,0.112000, ,,
2,2.318618,2.304577,0.118000, ,,
3,2.311292,2.289818,0.138000, ,,
4,2.281692,2.267331,0.202000, ,,
5,2.266591,2.259748,0.257000, ,,
6,2.255348,2.245681,0.236000, ,,
7,2.243633,2.233766,0.273000, ,,
8,2.231837,2.222017,0.312000, ,,
9,2.220692,2.210079,0.330000, ,,
10,2.208304,2.197958,0.345000, ,,
11,2.195652,2.184785,0.395000, ,,
12,2.182517,2.171688,0.439000, ,,
13,2.169003,2.157963,0.479000, ,,
14,2.154730,2.141984,0.447000, ,,
15,2.139620,2.126913,0.495000, ,,
16,2.123888,2.110356,0.513000, ,,
17,2.107328,2.093493,0.526000, ,,
18,2.089992,2.075179,0.545000, ,,
19,2.071360,2.055830,0.546000, ,,
20,2.052074,2.035102,0.560000, ,,
21,2.031240,2.014001,0.570000, ,,
22,2.009224,1.991025,0.570000, ,,
23,1.986484,1.966649,0.583000, ,,
24,1.962338,1.941936,0.606000, ,,
25,1.936613,1.915147,0.600000, ,,
26,1.909949,1.887430,0.608000, ,,
27,1.881771,1.859209,0.624000, ,,
28,1.852987,1.828809,0.620000, ,,
29,1.822971,1.797392,0.628000, ,,
30,1.791887,1.765320,0.629000, ,,
31,1.759736,1.733393,0.643000, ,,
32,1.727295,1.700094,0.644000, ,,
33,1.694240,1.665864,0.644000, ,,
34,1.660321,1.632411,0.657000, ,,
35,1.626645,1.598243,0.663000, ,,
36,1.592600,1.563330,0.658000, ,,
37,1.558178,1.529805,0.661000, ,,
38,1.524489,1.496528,0.670000, ,,
39,1.491240,1.463223,0.672000, ,,
40,1.458368,1.430714,0.682000, ,,
41,1.426175,1.398712,0.686000, ,,
42,1.394282,1.367152,0.691000, ,,
43,1.363374,1.337096,0.694000, ,,
44,1.333429,1.307921,0.699000, ,,
45,1.303848,1.279144,0.711000, ,,
46,1.275797,1.251530,0.712000, ,,
47,1.248159,1.225034,0.716000, ,,
48,1.221419,1.198457,0.721000, ,,
49,1.195798,1.173921,0.730000, ,,
50,1.170763,1.149385,0.737000, ,,
51,1.146734,1.126006,0.735000, ,,
52,1.123411,1.103697,0.744000, ,,
53,1.101044,1.082274,0.748000, ,,
54,1.079485,1.061695,0.749000, ,,
55,1.058774,1.041518,0.761000, ,,
56,1.038612,1.021819,0.762000, ,,
57,1.019259,1.003264,0.768000, ,,
58,1.000893,0.985485,0.767000, ,,
59,0.982825,0.968489,0.773000, ,,
60,0.965423,0.951913,0.778000, ,,
61,0.948862,0.936042,0.781000, ,,
62,0.932863,0.920385,0.781000, ,,
63,0.917423,0.904996,0.786000, ,,
64,0.902296,0.891188,0.787000, ,,
65,0.887973,0.877360,0.790000, ,,
66,0.874079,0.863985,0.792000, ,,
67,0.860369,0.851439,0.794000, ,,
68,0.847507,0.838975,0.797000, ,,
69,0.835039,0.826910,0.800000, ,,
70,0.822743,0.814873,0.799000, ,,
71,0.810951,0.804137,0.806000, ,,
72,0.799512,0.793431,0.807000, ,,
73,0.788419,0.782953,0.808000, ,,
74,0.777832,0.772718,0.809000, ,,
75,0.767668,0.763072,0.808000, ,,
76,0.757753,0.753515,0.811000, ,,
77,0.747612,0.744054,0.813000, ,,
78,0.738161,0.735414,0.816000, ,,
79,0.728987,0.726580,0.824000, ,,
80,0.720215,0.718294,0.825000, ,,
81,0.711348,0.710590,0.825000, ,,
82,0.703273,0.702653,0.827000, ,,
83,0.694959,0.694582,0.826000, ,,
84,0.687003,0.687272,0.829000, ,,
85,0.679407,0.680080,0.832000, ,,
86,0.671906,0.673482,0.830000, ,,
87,0.664515,0.666539,0.831000, ,,
88,0.657438,0.659827,0.834000, ,,
89,0.650678,0.653028,0.833000, ,,
90,0.643847,0.647075,0.833000, ,,
91,0.637281,0.641130,0.835000, ,,
92,0.630878,0.635544,0.835000, ,,
93,0.624654,0.629965,0.834000, ,,
94,0.618828,0.623997,0.834000, ,,
95,0.612755,0.618461,0.837000, ,,
96,0.607190,0.613175,0.837000, ,,
97,0.601570,0.608320,0.838000, ,,
98,0.595889,0.603031,0.840000, ,,
99,0.590547,0.598288,0.842000, ,,
