, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
377,0.000518,0.957,0.304831,127.0,,,
380,0.0005060000000000000,0.958,0.304566,128.0,,,
383,0.000496,0.957,0.30534,129.0, ,,
386,0.000492,0.957,0.306777,130.0, ,,
389,0.000484,0.957,0.305306,131.0, ,,
392,0.000478,0.957,0.307033,132.0, ,,
395,0.000472,0.957,0.308245,133.0, ,,
398,0.00046700000000000000,0.957,0.307421,134.0, ,,
401,0.00045700000000000000,0.957,0.308694,135.0, ,,
404,0.000452,0.957,0.308799,136.0, ,,
407,0.000443,0.957,0.30841,137.0, ,,
410,0.000436,0.957,0.309817,138.0, ,,
413,0.00043500000000000000,0.957,0.309743,139.0, ,,
416,0.000425,0.957,0.31057200000000000,140.0, ,,
419,0.00042200000000000000,0.957,0.31199700000000000,141.0, ,,
422,0.00041900000000000000,0.957,0.311641,142.0, ,,
425,0.000407,0.957,0.312269,143.0, ,,
428,0.00040600000000000000,0.957,0.312626,144.0, ,,
431,0.000397,0.957,0.31238,145.0, ,,
434,0.000394,0.957,0.314062,146.0, ,,
437,0.000388,0.957,0.314436,147.0, ,,
440,0.000384,0.958,0.313932,148.0, ,,
443,0.000379,0.957,0.315203,149.0, ,,
446,0.000376,0.957,0.315635,150.0, ,,
