Epoch, training loss, validation loss, validation accuracy, ,,
152,2.283352,2.281675,0.248000, ,,
153,2.283336,2.281794,0.220000, ,,
154,2.282864,2.281196,0.171000, ,,
155,2.283163,2.280493,0.121000, ,,
156,2.282750,2.280569,0.232000, ,,
157,2.282384,2.280478,0.177000, ,,
158,2.282304,2.280294,0.131000, ,,
159,2.282131,2.280037,0.151000, ,,
160,2.282400,2.279848,0.226000, ,,
161,2.281956,2.279997,0.256000, ,,
162,2.281455,2.279455,0.161000, ,,
163,2.281283,2.279110,0.228000, ,,
164,2.281097,2.279623,0.218000, ,,
165,2.280894,2.278733,0.241000, ,,
166,2.281009,2.278598,0.225000, ,,
167,2.280326,2.278540,0.211000, ,,
168,2.280247,2.278140,0.153000, ,,
169,2.279958,2.277913,0.281000, ,,
170,2.279793,2.277730,0.191000, ,,
171,2.279435,2.277819,0.137000, ,,
172,2.279351,2.277369,0.232000, ,,
173,2.278991,2.276798,0.222000, ,,
174,2.278986,2.276720,0.265000, ,,
175,2.278379,2.276399,0.214000, ,,
176,2.278257,2.276522,0.215000, ,,
177,2.278216,2.276300,0.228000, ,,
178,2.277866,2.276083,0.209000, ,,
179,2.277527,2.275145,0.220000, ,,
180,2.277126,2.275305,0.208000, ,,
181,2.277228,2.275062,0.201000, ,,
182,2.276632,2.274970,0.315000, ,,
183,2.276805,2.275223,0.234000, ,,
184,2.276667,2.274137,0.217000, ,,
185,2.276338,2.274007,0.282000, ,,
186,2.275447,2.273804,0.168000, ,,
187,2.275235,2.273051,0.210000, ,,
188,2.275228,2.273574,0.226000, ,,
189,2.274752,2.272965,0.248000, ,,
190,2.274623,2.272104,0.232000, ,,
191,2.274056,2.272416,0.181000, ,,
192,2.274007,2.272068,0.188000, ,,
193,2.273627,2.271685,0.231000, ,,
194,2.273696,2.271483,0.266000, ,,
195,2.273006,2.270821,0.224000, ,,
196,2.272523,2.270662,0.219000, ,,
197,2.272470,2.270218,0.229000, ,,
198,2.271883,2.269949,0.224000, ,,
199,2.271539,2.269790,0.293000, ,,
200,2.271136,2.269342,0.237000, ,,
201,2.271055,2.268897,0.192000, ,,
202,2.270554,2.269080,0.295000, ,,
203,2.270619,2.268276,0.309000, ,,
204,2.269772,2.267906,0.222000, ,,
205,2.269491,2.267684,0.293000, ,,
206,2.269449,2.267155,0.228000, ,,
207,2.268790,2.267047,0.294000, ,,
208,2.268492,2.266277,0.230000, ,,
209,2.267927,2.265718,0.227000, ,,
210,2.267734,2.266002,0.293000, ,,
211,2.267383,2.265647,0.338000, ,,
212,2.267336,2.265035,0.236000, ,,
213,2.266327,2.264148,0.211000, ,,
214,2.266789,2.263892,0.225000, ,,
215,2.265542,2.263852,0.260000, ,,
216,2.265277,2.263398,0.246000, ,,
217,2.264745,2.263205,0.246000, ,,
218,2.264609,2.262523,0.264000, ,,
219,2.264267,2.261539,0.220000, ,,
220,2.263324,2.261173,0.231000, ,,
221,2.263180,2.261109,0.267000, ,,
