, training loss, validation accuracy, validation loss,Epoch,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,2.301086,0.22,2.297514,1.0,,,
3,2.295362,0.241,2.291074,2.0,,,
6,2.288141,0.269,2.282194,3.0,,,
9,2.277923,0.317,2.26879,4.0,,,
12,2.261089,0.366,2.245547,5.0,,,
15,2.229756,0.404,2.197603,6.0,,,
18,2.156859,0.478,2.068461,7.0,,,
21,1.9238439999999999,0.577,1.605591,8.0,,,
24,1.245833,0.665,0.97556,9.0,,,
27,1.8356139999999999,0.565,1.446032,10.0,,,
30,1.205992,0.736,0.812752,11.0,,,
33,0.646777,0.833,0.577133,12.0,,,
36,0.46535299999999996,0.875,0.424731,13.0,,,
39,0.348636,0.903,0.343547,14.0,,,
42,0.281204,0.923,0.301322,15.0,,,
45,0.235393,0.92,0.27546,16.0,,,
48,0.206706,0.925,0.260441,17.0,,,
51,0.184146,0.937,0.242635,18.0,,,
54,0.162935,0.933,0.233681,19.0,,,
57,0.147357,0.942,0.226147,20.0,,,
60,0.133237,0.933,0.22551500000000002,21.0,,,
63,0.12305,0.938,0.21859699999999999,22.0,,,
66,0.112597,0.941,0.21737399999999998,23.0,,,
69,0.10343499999999999,0.941,0.21719000000000002,24.0,,,
72,0.09627000000000001,0.941,0.21629400000000001,25.0,,,
75,0.088762,0.945,0.204012,26.0,,,
78,0.078801,0.949,0.197632,27.0,,,
81,0.07206699999999999,0.948,0.198461,28.0,,,
84,0.067346,0.948,0.196242,29.0,,,
87,0.063795,0.945,0.20952600000000002,30.0,,,
90,0.057572000000000005,0.95,0.18998099999999998,31.0,,,
93,0.054938,0.95,0.194832,32.0,,,
96,0.049348,0.951,0.201552,33.0,,,
99,0.044883,0.946,0.209211,34.0,,,
102,0.040792,0.952,0.201802,35.0,,,
105,0.038721,0.95,0.199809,36.0,,,
108,0.035166,0.95,0.209196,37.0,,,
111,0.031667,0.951,0.196965,38.0,,,
114,0.027906999999999998,0.948,0.205657,39.0,,,
117,0.028408999999999997,0.951,0.193628,40.0,,,
120,0.023133,0.949,0.198202,41.0,,,
123,0.021029,0.953,0.20156400000000002,42.0,,,
126,0.019906999999999998,0.952,0.20698200000000003,43.0,,,
129,0.018084,0.954,0.203746,44.0,,,
132,0.016880000000000003,0.95,0.212531,45.0,,,
135,0.014225,0.955,0.21314499999999997,46.0,,,
138,0.012836000000000002,0.954,0.21716300000000002,47.0,,,
141,0.011705,0.952,0.21766100000000002,48.0,,,
144,0.010623,0.953,0.21883699999999998,49.0,,,
147,0.00916,0.956,0.219831,50.0,,,
150,0.008278,0.955,0.22769,51.0,,,
153,0.008058,0.958,0.229748,52.0,,,
156,0.006924,0.956,0.232882,53.0,,,
159,0.006423000000000001,0.957,0.229388,54.0,,,
162,0.005536,0.957,0.234542,55.0,,,
165,0.005665,0.954,0.23205599999999998,56.0,,,
168,0.005036,0.957,0.23618499999999998,57.0,,,
171,0.004602,0.956,0.24207800000000002,58.0,,,
174,0.004378,0.956,0.23977300000000001,59.0,,,
177,0.003966,0.958,0.24145100000000003,60.0,,,
180,0.00374,0.957,0.245981,61.0,,,
183,0.003454,0.959,0.245587,62.0,,,
186,0.003503,0.957,0.247194,63.0,,,
189,0.003137,0.957,0.247723,64.0,,,
192,0.0031079999999999997,0.956,0.245745,65.0,,,
195,0.002745,0.957,0.252655,66.0,,,
198,0.0026309999999999997,0.957,0.252527,67.0,,,
201,0.002503,0.957,0.250591,68.0,,,
204,0.002461,0.957,0.251512,69.0,,,
207,0.00233,0.958,0.259706,70.0,,,
210,0.0021809999999999998,0.957,0.256294,71.0,,,
213,0.002069,0.957,0.261052,72.0,,,
216,0.0019879999999999997,0.957,0.259614,73.0,,,
219,0.0018899999999999998,0.957,0.262535,74.0,,,
222,0.0018579999999999998,0.957,0.260883,75.0,,,
225,0.001802,0.957,0.26315500000000003,76.0,,,
228,0.0016920000000000001,0.957,0.264797,77.0,,,
231,0.001666,0.957,0.26770700000000003,78.0,,,
234,0.001574,0.958,0.269307,79.0,,,
237,0.001519,0.957,0.2667,80.0,,,
240,0.001483,0.957,0.270974,81.0,,,
243,0.001431,0.957,0.269879,82.0,,,
246,0.001382,0.957,0.271445,83.0,,,
249,0.0013109999999999999,0.957,0.274082,84.0,,,
252,0.001273,0.957,0.273321,85.0,,,
255,0.00124,0.957,0.273735,86.0,,,
258,0.0012230000000000001,0.956,0.275022,87.0,,,
261,0.001208,0.957,0.277812,88.0,,,
264,0.001145,0.957,0.27713699999999997,89.0,,,
267,0.001109,0.957,0.279979,90.0,,,
270,0.0010789999999999999,0.957,0.279962,91.0,,,
273,0.001302,0.956,0.270422,92.0,,,
276,0.001263,0.958,0.276047,93.0,,,
279,0.001228,0.959,0.271997,94.0,,,
282,0.001193,0.957,0.27405300000000005,95.0,,,
285,0.001172,0.956,0.271473,96.0,,,
288,0.001119,0.959,0.276801,97.0,,,
291,0.001092,0.958,0.27574899999999997,98.0,,,
294,0.00106,0.956,0.277494,99.0,,,
297,0.001036,0.959,0.27975500000000003,100.0,,,
300,0.0010119999999999999,0.956,0.278183,101.0,,,
303,0.001005,0.958,0.282901,102.0,,,
306,0.000965,0.957,0.28286,103.0,,,
309,0.000933,0.956,0.281893,104.0,,,
312,0.0009119999999999999,0.958,0.286022,105.0,,,
315,0.000895,0.957,0.284173,106.0,,,
318,0.0008789999999999999,0.956,0.284481,107.0,,,
321,0.000851,0.958,0.286043,108.0,,,
324,0.0008320000000000001,0.958,0.285313,109.0,,,
327,0.00082,0.958,0.28872800000000004,110.0,,,
330,0.0008029999999999999,0.958,0.289102,111.0,,,
333,0.00078,0.958,0.288946,112.0,,,
336,0.000776,0.958,0.29112,113.0,,,
339,0.0007509999999999999,0.957,0.28975100000000004,114.0,,,
342,0.000733,0.957,0.289605,115.0,,,
345,0.000724,0.957,0.290109,116.0,,,
348,0.0007099999999999999,0.957,0.29270100000000004,117.0,,,
351,0.000699,0.958,0.293545,118.0,,,
354,0.000679,0.959,0.293558,119.0,,,
357,0.000666,0.957,0.294584,120.0,,,
360,0.00065,0.958,0.296967,121.0,,,
363,0.000655,0.957,0.29496100000000003,122.0,,,
366,0.00063,0.957,0.29652,123.0,,,
369,0.000628,0.958,0.297865,124.0,,,
372,0.000608,0.957,0.29586599999999996,125.0,,,
375,0.000604,0.958,0.299627,126.0,,,
378,0.000593,0.957,0.29983699999999996,127.0,,,
381,0.000583,0.957,0.299527,128.0,,,
384,0.000573,0.957,0.299767,129.0, ,,
387,0.0005610000000000001,0.957,0.30043000000000003,130.0, ,,
390,0.000553,0.959,0.302142,131.0, ,,
393,0.000545,0.958,0.302969,132.0, ,,
396,0.000535,0.957,0.303113,133.0, ,,
399,0.000528,0.957,0.301863,134.0, ,,
402,0.000517,0.957,0.304415,135.0, ,,
405,0.000523,0.957,0.302816,136.0, ,,
408,0.000502,0.957,0.30527,137.0, ,,
