Epoch, training loss, validation loss, validation accuracy,,,
159,0.404019,0.434394,0.868000,,,
160,0.402105,0.432631,0.869000,,,
161,0.400255,0.431182,0.870000,,,
162,0.398373,0.429622,0.870000,,,
163,0.396669,0.428054,0.870000,,,
164,0.394724,0.426375,0.871000,,,
165,0.393116,0.425242,0.871000,,,
166,0.391244,0.423733,0.870000,,,
167,0.389653,0.422372,0.871000,,,
168,0.387809,0.420679,0.874000,,,
169,0.386143,0.419582,0.875000,,,
170,0.384489,0.418243,0.874000,,,
171,0.382793,0.416611,0.876000,,,
172,0.381145,0.415433,0.875000,,,
173,0.379626,0.414045,0.875000,,,
174,0.378089,0.412822,0.876000,,,
175,0.376455,0.411645,0.876000,,,
176,0.375018,0.410251,0.876000,,,
177,0.373448,0.409003,0.876000,,,
178,0.371952,0.407862,0.876000,,,
179,0.370557,0.406937,0.876000,,,
180,0.368990,0.405618,0.876000,,,
181,0.367676,0.404460,0.877000,,,
182,0.366273,0.403236,0.878000,,,
183,0.364747,0.402119,0.878000,,,
184,0.363471,0.400998,0.879000,,,
185,0.361954,0.400010,0.879000,,,
186,0.360705,0.398785,0.880000,,,
187,0.359300,0.397888,0.881000,,,
188,0.358039,0.396770,0.882000,,,
189,0.356659,0.395701,0.882000,,,
190,0.355427,0.394682,0.883000,,,
191,0.354110,0.393797,0.883000,,,
192,0.352826,0.392703,0.883000,,,
193,0.351607,0.391737,0.884000,,,
194,0.350305,0.390638,0.884000,,,
195,0.349075,0.389668,0.885000,,,
196,0.348048,0.389015,0.887000,,,
197,0.346706,0.387858,0.886000,,,
198,0.345501,0.386991,0.885000,,,
199,0.344397,0.386134,0.886000,,,
200,0.343148,0.385162,0.886000,,,
201,0.342055,0.384216,0.886000,,,
202,0.340915,0.383574,0.887000,,,
203,0.339772,0.382525,0.886000,,,
204,0.338732,0.381622,0.887000,,,
205,0.337613,0.381142,0.887000,,,
206,0.336574,0.380172,0.888000,,,
207,0.335388,0.379614,0.888000,,,
208,0.334319,0.378569,0.888000,,,
209,0.333283,0.377517,0.888000,,,
210,0.332355,0.376985,0.888000,,,
211,0.331129,0.376102,0.889000,,,
212,0.330132,0.375414,0.889000,,,
213,0.329218,0.374735,0.889000,,,
214,0.328085,0.373843,0.890000,,,
215,0.327102,0.373183,0.891000,,,
216,0.326104,0.372582,0.890000,,,
217,0.325147,0.371712,0.890000,,,
218,0.324150,0.370987,0.890000,,,
219,0.323273,0.370483,0.891000,,,
220,0.322244,0.369683,0.890000,,,
221,0.321305,0.368897,0.892000,,,
222,0.320318,0.368257,0.891000,,,
223,0.319546,0.367530,0.891000,,,
224,0.318510,0.367260,0.892000,,,
225,0.317907,0.366541,0.891000,,,
226,0.316700,0.365559,0.892000,,,
227,0.315796,0.365292,0.892000,,,
228,0.314973,0.364318,0.891000,,,
229,0.314090,0.363878,0.893000,,,
230,0.313200,0.363502,0.893000,,,
231,0.312271,0.362627,0.895000,,,
232,0.311443,0.361951,0.896000,,,
233,0.310570,0.361465,0.895000,,,
234,0.309699,0.360843,0.894000,,,
235,0.308807,0.360316,0.895000,,,
236,0.307993,0.359789,0.894000,,,
237,0.307157,0.359403,0.896000,,,
238,0.306352,0.358685,0.895000,,,
239,0.305526,0.358215,0.895000,,,
240,0.304731,0.357709,0.895000,,,
241,0.303964,0.356941,0.895000,,,
242,0.303194,0.356725,0.895000,,,
243,0.302419,0.356137,0.893000,,,
244,0.301606,0.355465,0.896000,,,
245,0.300794,0.354877,0.898000,,,
246,0.300050,0.354239,0.898000,,,
247,0.299262,0.353954,0.895000,,,
248,0.298520,0.353499,0.895000,,,
249,0.297733,0.352892,0.898000,,,
250,0.297009,0.352588,0.897000,,,
251,0.296266,0.352247,0.897000,,,
252,0.295476,0.351651,0.898000,,,
253,0.294800,0.351126,0.900000,,,
254,0.294067,0.350590,0.899000,,,
255,0.293359,0.350237,0.899000,,,
256,0.292595,0.349735,0.900000,,,
257,0.291934,0.349333,0.901000,,,
258,0.291248,0.349154,0.898000,,,
259,0.290517,0.348758,0.898000,,,
260,0.289822,0.348085,0.898000,,,
261,0.289113,0.347559,0.898000,,,
262,0.288387,0.347177,0.900000,,,
263,0.287706,0.346881,0.897000,,,
264,0.287101,0.346506,0.899000,,,
265,0.286404,0.345932,0.899000,,,
266,0.285753,0.345718,0.897000,,,
267,0.285019,0.345235,0.898000,,,
268,0.284379,0.344815,0.902000,,,
269,0.283705,0.344429,0.899000,,,
270,0.283082,0.344053,0.899000,,,
271,0.282432,0.343565,0.898000,,,
272,0.281828,0.343588,0.902000,,,
273,0.281158,0.343133,0.900000,,,
274,0.280575,0.342386,0.898000,,,
275,0.279927,0.342002,0.897000,,,
276,0.279315,0.341882,0.899000,,,
277,0.278673,0.341572,0.897000,,,
278,0.278177,0.341015,0.899000,,,
279,0.277431,0.340796,0.900000,,,
280,0.276910,0.340762,0.899000,,,
281,0.276208,0.340434,0.898000,,,
282,0.275647,0.339863,0.899000,,,
283,0.274886,0.339515,0.898000,,,
284,0.274321,0.339108,0.898000,,,
285,0.273724,0.338747,0.898000,,,
286,0.273163,0.338445,0.898000,,,
287,0.272602,0.338045,0.898000,,,
288,0.271983,0.337980,0.896000,,,
289,0.271473,0.337749,0.897000,,,
290,0.270882,0.337291,0.897000,,,
291,0.270207,0.337026,0.897000,,,
292,0.269851,0.336748,0.899000,,,
293,0.269113,0.336217,0.898000,,,
294,0.268655,0.335841,0.898000,,,
295,0.267981,0.335800,0.897000,,,
296,0.267417,0.335548,0.897000,,,
297,0.266968,0.335224,0.897000,,,
298,0.266300,0.335036,0.897000,,,
299,0.265733,0.334698,0.896000,,,
300,0.265264,0.334058,0.897000,,,
301,0.264754,0.334250,0.897000,,,
302,0.264193,0.333797,0.896000,,,
303,0.263586,0.333522,0.897000,,,
304,0.263112,0.333219,0.897000,,,
305,0.262567,0.332949,0.897000,,,
306,0.261997,0.332894,0.897000,,,
307,0.261503,0.332515,0.896000,,,
308,0.261018,0.332199,0.897000,,,
309,0.260381,0.331852,0.897000,,,
310,0.259899,0.331659,0.896000,,,
311,0.259411,0.331257,0.898000,,,
312,0.258882,0.331242,0.897000,,,
313,0.258361,0.331082,0.896000,,,
314,0.257832,0.330548,0.899000,,,
315,0.257352,0.330490,0.900000,,,
316,0.256851,0.330290,0.901000,,,
